cell_class	channel_combo	plate	well
Interphase	DAPI_ACA_MITOTRACKER_VIMENTIN_CENPT_ITGB1_PHALLOIDIN_WGA	1	A2
Interphase	DAPI_ACA_MITOTRACKER_VIMENTIN_CENPT_ITGB1_WGA	1	A2
Interphase	DAPI_ACA_CENPT	1	A2
Interphase	DAPI_CENPT	1	A2
Interphase	ACA_CENPT	1	A2
Interphase	DAPI	1	A2
Interphase	DAPI_MITOTRACKER_WGA	1	A2
Interphase	DAPI_VIMENTIN_PHALLOIDIN_ITGB1	1	A2
Interphase	DAPI_VIMENTIN_ITGB1	1	A2
Mitotic	DAPI_ACA_MITOTRACKER_VIMENTIN_CENPT_ITGB1_PHALLOIDIN_WGA	1	A2
Mitotic	DAPI_ACA_MITOTRACKER_VIMENTIN_CENPT_ITGB1_WGA	1	A2
Mitotic	DAPI_ACA_CENPT	1	A2
Mitotic	DAPI_CENPT	1	A2
Mitotic	ACA_CENPT	1	A2
Mitotic	DAPI	1	A2
Mitotic	DAPI_MITOTRACKER_WGA	1	A2
Mitotic	DAPI_VIMENTIN_PHALLOIDIN_ITGB1	1	A2
Mitotic	DAPI_VIMENTIN_ITGB1	1	A2
all	DAPI_ACA_MITOTRACKER_VIMENTIN_CENPT_ITGB1_PHALLOIDIN_WGA	1	A2
all	DAPI_ACA_MITOTRACKER_VIMENTIN_CENPT_ITGB1_WGA	1	A2
all	DAPI_ACA_CENPT	1	A2
all	DAPI_CENPT	1	A2
all	ACA_CENPT	1	A2
all	DAPI	1	A2
all	DAPI_MITOTRACKER_WGA	1	A2
all	DAPI_VIMENTIN_PHALLOIDIN_ITGB1	1	A2
all	DAPI_VIMENTIN_ITGB1	1	A2
Interphase	DAPI_ACA_MITOTRACKER_VIMENTIN_CENPT_ITGB1_PHALLOIDIN_WGA	1	A3
Interphase	DAPI_ACA_MITOTRACKER_VIMENTIN_CENPT_ITGB1_WGA	1	A3
Interphase	DAPI_ACA_CENPT	1	A3
Interphase	DAPI_CENPT	1	A3
Interphase	ACA_CENPT	1	A3
Interphase	DAPI	1	A3
Interphase	DAPI_MITOTRACKER_WGA	1	A3
Interphase	DAPI_VIMENTIN_PHALLOIDIN_ITGB1	1	A3
Interphase	DAPI_VIMENTIN_ITGB1	1	A3
Mitotic	DAPI_ACA_MITOTRACKER_VIMENTIN_CENPT_ITGB1_PHALLOIDIN_WGA	1	A3
Mitotic	DAPI_ACA_MITOTRACKER_VIMENTIN_CENPT_ITGB1_WGA	1	A3
Mitotic	DAPI_ACA_CENPT	1	A3
Mitotic	DAPI_CENPT	1	A3
Mitotic	ACA_CENPT	1	A3
Mitotic	DAPI	1	A3
Mitotic	DAPI_MITOTRACKER_WGA	1	A3
Mitotic	DAPI_VIMENTIN_PHALLOIDIN_ITGB1	1	A3
Mitotic	DAPI_VIMENTIN_ITGB1	1	A3
all	DAPI_ACA_MITOTRACKER_VIMENTIN_CENPT_ITGB1_PHALLOIDIN_WGA	1	A3
all	DAPI_ACA_MITOTRACKER_VIMENTIN_CENPT_ITGB1_WGA	1	A3
all	DAPI_ACA_CENPT	1	A3
all	DAPI_CENPT	1	A3
all	ACA_CENPT	1	A3
all	DAPI	1	A3
all	DAPI_MITOTRACKER_WGA	1	A3
all	DAPI_VIMENTIN_PHALLOIDIN_ITGB1	1	A3
all	DAPI_VIMENTIN_ITGB1	1	A3
Interphase	DAPI_ACA_MITOTRACKER_VIMENTIN_CENPT_ITGB1_PHALLOIDIN_WGA	1	B1
Interphase	DAPI_ACA_MITOTRACKER_VIMENTIN_CENPT_ITGB1_WGA	1	B1
Interphase	DAPI_ACA_CENPT	1	B1
Interphase	DAPI_CENPT	1	B1
Interphase	ACA_CENPT	1	B1
Interphase	DAPI	1	B1
Interphase	DAPI_MITOTRACKER_WGA	1	B1
Interphase	DAPI_VIMENTIN_PHALLOIDIN_ITGB1	1	B1
Interphase	DAPI_VIMENTIN_ITGB1	1	B1
Mitotic	DAPI_ACA_MITOTRACKER_VIMENTIN_CENPT_ITGB1_PHALLOIDIN_WGA	1	B1
Mitotic	DAPI_ACA_MITOTRACKER_VIMENTIN_CENPT_ITGB1_WGA	1	B1
Mitotic	DAPI_ACA_CENPT	1	B1
Mitotic	DAPI_CENPT	1	B1
Mitotic	ACA_CENPT	1	B1
Mitotic	DAPI	1	B1
Mitotic	DAPI_MITOTRACKER_WGA	1	B1
Mitotic	DAPI_VIMENTIN_PHALLOIDIN_ITGB1	1	B1
Mitotic	DAPI_VIMENTIN_ITGB1	1	B1
all	DAPI_ACA_MITOTRACKER_VIMENTIN_CENPT_ITGB1_PHALLOIDIN_WGA	1	B1
all	DAPI_ACA_MITOTRACKER_VIMENTIN_CENPT_ITGB1_WGA	1	B1
all	DAPI_ACA_CENPT	1	B1
all	DAPI_CENPT	1	B1
all	ACA_CENPT	1	B1
all	DAPI	1	B1
all	DAPI_MITOTRACKER_WGA	1	B1
all	DAPI_VIMENTIN_PHALLOIDIN_ITGB1	1	B1
all	DAPI_VIMENTIN_ITGB1	1	B1
Interphase	DAPI_ACA_MITOTRACKER_VIMENTIN_CENPT_ITGB1_PHALLOIDIN_WGA	1	B2
Interphase	DAPI_ACA_MITOTRACKER_VIMENTIN_CENPT_ITGB1_WGA	1	B2
Interphase	DAPI_ACA_CENPT	1	B2
Interphase	DAPI_CENPT	1	B2
Interphase	ACA_CENPT	1	B2
Interphase	DAPI	1	B2
Interphase	DAPI_MITOTRACKER_WGA	1	B2
Interphase	DAPI_VIMENTIN_PHALLOIDIN_ITGB1	1	B2
Interphase	DAPI_VIMENTIN_ITGB1	1	B2
Mitotic	DAPI_ACA_MITOTRACKER_VIMENTIN_CENPT_ITGB1_PHALLOIDIN_WGA	1	B2
Mitotic	DAPI_ACA_MITOTRACKER_VIMENTIN_CENPT_ITGB1_WGA	1	B2
Mitotic	DAPI_ACA_CENPT	1	B2
Mitotic	DAPI_CENPT	1	B2
Mitotic	ACA_CENPT	1	B2
Mitotic	DAPI	1	B2
Mitotic	DAPI_MITOTRACKER_WGA	1	B2
Mitotic	DAPI_VIMENTIN_PHALLOIDIN_ITGB1	1	B2
Mitotic	DAPI_VIMENTIN_ITGB1	1	B2
all	DAPI_ACA_MITOTRACKER_VIMENTIN_CENPT_ITGB1_PHALLOIDIN_WGA	1	B2
all	DAPI_ACA_MITOTRACKER_VIMENTIN_CENPT_ITGB1_WGA	1	B2
all	DAPI_ACA_CENPT	1	B2
all	DAPI_CENPT	1	B2
all	ACA_CENPT	1	B2
all	DAPI	1	B2
all	DAPI_MITOTRACKER_WGA	1	B2
all	DAPI_VIMENTIN_PHALLOIDIN_ITGB1	1	B2
all	DAPI_VIMENTIN_ITGB1	1	B2
Interphase	DAPI_ACA_MITOTRACKER_VIMENTIN_CENPT_ITGB1_PHALLOIDIN_WGA	1	B3
Interphase	DAPI_ACA_MITOTRACKER_VIMENTIN_CENPT_ITGB1_WGA	1	B3
Interphase	DAPI_ACA_CENPT	1	B3
Interphase	DAPI_CENPT	1	B3
Interphase	ACA_CENPT	1	B3
Interphase	DAPI	1	B3
Interphase	DAPI_MITOTRACKER_WGA	1	B3
Interphase	DAPI_VIMENTIN_PHALLOIDIN_ITGB1	1	B3
Interphase	DAPI_VIMENTIN_ITGB1	1	B3
Mitotic	DAPI_ACA_MITOTRACKER_VIMENTIN_CENPT_ITGB1_PHALLOIDIN_WGA	1	B3
Mitotic	DAPI_ACA_MITOTRACKER_VIMENTIN_CENPT_ITGB1_WGA	1	B3
Mitotic	DAPI_ACA_CENPT	1	B3
Mitotic	DAPI_CENPT	1	B3
Mitotic	ACA_CENPT	1	B3
Mitotic	DAPI	1	B3
Mitotic	DAPI_MITOTRACKER_WGA	1	B3
Mitotic	DAPI_VIMENTIN_PHALLOIDIN_ITGB1	1	B3
Mitotic	DAPI_VIMENTIN_ITGB1	1	B3
all	DAPI_ACA_MITOTRACKER_VIMENTIN_CENPT_ITGB1_PHALLOIDIN_WGA	1	B3
all	DAPI_ACA_MITOTRACKER_VIMENTIN_CENPT_ITGB1_WGA	1	B3
all	DAPI_ACA_CENPT	1	B3
all	DAPI_CENPT	1	B3
all	ACA_CENPT	1	B3
all	DAPI	1	B3
all	DAPI_MITOTRACKER_WGA	1	B3
all	DAPI_VIMENTIN_PHALLOIDIN_ITGB1	1	B3
all	DAPI_VIMENTIN_ITGB1	1	B3
